strategy,pos,startLeague,peakOvr,finalOvr,finalLeague,seasonsPlayed,retirementAge,everInNhl,everDemoted,nhlGames,nhlGoals,nhlAssists,ahlGames,teamsCount,championships,individualAwards,awardsList
OPTIMIZER,C,QMJHL,86,81,NHL,36,34,true,true,924,311,423,68,2,1,1,2039:NHL Championship
OPTIMIZER,RD,OHL,81,78,NHL,36,34,true,false,811,79,164,69,2,1,1,2034:NHL Championship
OPTIMIZER,RD,SHL,84,80,NHL,36,34,true,false,828,54,205,0,1,1,1,2040:NHL Championship
OPTIMIZER,LW,OHL,83,75,NHL,38,35,true,true,1081,503,221,71,2,1,1,2043:NHL Championship
OPTIMIZER,RW,QMJHL,84,79,NHL,36,34,true,true,1008,535,253,66,2,2,2,2036:NHL Championship | 2041:NHL Championship
OPTIMIZER,LD,LIIGA,84,79,NHL,36,34,true,true,908,57,237,0,1,1,1,2041:NHL Championship
OPTIMIZER,LW,WHL,83,78,NHL,36,34,true,true,977,477,184,71,2,0,0,
OPTIMIZER,G,QMJHL,88,82,NHL,36,34,true,false,887,0,0,126,2,0,0,
OPTIMIZER,RD,WHL,82,77,NHL,36,34,true,false,835,118,200,65,2,0,0,
OPTIMIZER,G,LIIGA,89,79,NHL,38,35,true,false,952,0,0,125,1,0,0,
OPTIMIZER,C,LIIGA,83,80,NHL,36,34,true,false,915,294,335,0,1,0,0,
OPTIMIZER,C,LIIGA,82,75,NHL,38,35,true,false,917,226,361,0,1,0,0,
OPTIMIZER,LD,LIIGA,83,78,NHL,36,34,true,true,912,52,213,0,1,1,1,2031:SHL Championship
OPTIMIZER,RW,USHL,82,76,NHL,36,34,true,true,1045,537,179,0,2,1,1,2042:NHL Championship
OPTIMIZER,G,LIIGA,87,83,NHL,36,34,true,false,859,0,0,128,1,1,1,2032:NHL Championship
OPTIMIZER,G,USHL,89,82,NHL,36,34,true,false,784,0,0,191,2,0,0,
OPTIMIZER,RW,OHL,81,77,NHL,36,34,true,true,859,261,122,69,2,0,0,
OPTIMIZER,RD,WHL,83,80,NHL,36,34,true,true,903,76,228,67,2,0,0,
OPTIMIZER,C,SHL,83,79,NHL,36,34,true,true,908,216,375,0,1,0,0,
OPTIMIZER,LD,WHL,84,79,NHL,36,34,true,true,1011,53,259,71,2,0,0,
OPTIMIZER,G,LIIGA,86,79,NHL,36,34,true,false,774,0,0,192,1,0,0,
OPTIMIZER,C,NCAA,84,80,NHL,36,34,true,true,979,295,444,68,2,0,0,
OPTIMIZER,C,USHL,83,77,NHL,38,35,true,true,995,296,468,69,2,1,1,2035:NHL Championship
OPTIMIZER,LW,WHL,83,77,NHL,36,34,true,true,960,413,150,66,2,1,1,2030:AHL Championship
OPTIMIZER,C,WHL,82,79,NHL,36,34,true,true,911,195,386,67,2,0,0,
OPTIMIZER,RW,SHL,80,77,NHL,36,34,true,true,899,289,128,0,1,0,0,
OPTIMIZER,RW,USHL,83,78,NHL,36,34,true,true,1006,493,199,67,2,0,0,
OPTIMIZER,LD,NCAA,81,78,NHL,36,34,true,true,897,68,163,68,2,0,0,
OPTIMIZER,C,LIIGA,84,81,NHL,36,34,true,true,926,281,372,0,1,0,0,
OPTIMIZER,LW,SHL,81,75,NHL,36,34,true,true,947,351,103,0,1,0,0,
OPTIMIZER,RW,QMJHL,83,79,NHL,36,34,true,true,887,348,178,69,2,1,1,2039:NHL Championship
OPTIMIZER,LW,SHL,84,78,NHL,36,34,true,false,940,483,193,0,1,0,0,
OPTIMIZER,LD,USHL,83,75,NHL,38,35,true,true,996,89,262,70,2,1,1,2043:NHL Championship
